RunNumber,BeamEnergy,Threshold,GearGeoFile,angle,xclumin,xclumax,yclumin,yclumax

900001,4.0,7.0,tele_20mm_1fei4_00.xml,00.0,0,100,0,3
900002,4.0,7.0,tele_20mm_1fei4_15.xml,15.0,0,100,0,3
900003,4.0,7.0,tele_20mm_1fei4_30.xml,30.0,0,100,0,3
900004,4.0,7.0,tele_20mm_1fei4_45.xml,45.0,0,100,0,3
900005,4.0,7.0,tele_20mm_1fei4_60.xml,60.0,0,100,0,3
900006,4.0,7.0,tele_20mm_1fei4_75.xml,75.0,0,100,0,3
900007,4.0,7.0,tele_20mm_1fei4_80.xml,80.0,0,100,0,3
900008,4.0,7.0,tele_20mm_1fei4_81.xml,81.0,0,100,0,3
900009,4.0,7.0,tele_20mm_1fei4_82.xml,82.0,0,100,0,3
900010,4.0,7.0,tele_20mm_1fei4_83.xml,83.0,0,100,0,3
900011,4.0,7.0,tele_20mm_1fei4_84.xml,84.0,0,100,0,3
900012,4.0,7.0,tele_20mm_1fei4_85.xml,85.0,0,100,0,3
900013,4.0,7.0,tele_20mm_1fei4_86.xml,86.0,0,100,0,3
900014,4.0,7.0,tele_20mm_1fei4_87.xml,87.0,0,100,0,3
900015,4.0,7.0,tele_20mm_1fei4_88.xml,88.0,0,100,0,3
900016,4.0,7.0,tele_20mm_1fei4_89.xml,89.0,0,100,0,3
900017,4.0,7.0,tele_20mm_1fei4_90.xml,90.0,0,100,0,3



















